Wavelength[nm],Intensity[normalized],Phase[rad]
790.83,0.01232901,-0.01694732
791.28,0.01395204,0.00867454
791.73,0.01620072,0.03349775
792.18,0.01895173,0.05806066
792.63,0.02239349,0.08222117
793.08,0.02630576,0.10610315
793.53,0.03003314,0.12926869
793.98,0.03283256,0.15160730
794.43,0.03454076,0.17293098
794.88,0.03603198,0.19338068
795.33,0.03820177,0.21285136
795.78,0.04125390,0.23053917
796.23,0.04496132,0.24706656
796.68,0.04917563,0.26198852
797.13,0.05397397,0.27498374
797.58,0.05881624,0.28052255
798.03,0.06377787,0.28384971
798.48,0.06996813,0.28528506
798.92,0.07673910,0.28502595
799.37,0.08247745,0.28293532
799.82,0.08803146,0.27861593
800.27,0.09538386,0.27203889
800.72,0.10467978,0.26374065
801.17,0.11502701,0.25361581
801.62,0.12499327,0.24164974
802.07,0.13347147,0.22809759
802.52,0.14375560,0.21281021
802.97,0.16114865,0.19609927
803.42,0.18404056,0.17497284
803.87,0.20521616,0.15077307
804.32,0.21913094,0.12550254
804.77,0.22382810,0.09963463
805.21,0.22220021,0.07337012
805.66,0.22014899,0.04687204
806.11,0.22145821,0.02044096
806.56,0.22590104,-0.00596674
807.01,0.23159434,-0.03187580
807.46,0.23709633,-0.05729097
807.91,0.24049246,-0.08202647
808.36,0.24183255,-0.10594563
808.81,0.24464164,-0.12857461
809.25,0.24876277,-0.14986444
809.70,0.24781776,-0.16454746
810.15,0.23805007,-0.17790543
810.60,0.22237472,-0.19034937
811.05,0.20457996,-0.20178240
811.50,0.18627971,-0.21205969
811.95,0.16873948,-0.22143406
812.40,0.15371213,-0.22990363
812.84,0.14258856,-0.23780177
813.29,0.13504029,-0.24467684
813.74,0.12803232,-0.25106643
814.19,0.11843711,-0.25693032
814.64,0.10609684,-0.26198919
815.09,0.09313040,-0.26648651
815.54,0.08197138,-0.26898267
815.98,0.07344731,-0.26816731
816.43,0.06663091,-0.26701564
816.88,0.06020225,-0.26563803
817.33,0.05338297,-0.26356659
817.78,0.04651317,-0.26114697
818.22,0.04052762,-0.25854791
818.67,0.03619897,-0.25593283
819.12,0.03404751,-0.25322209
819.57,0.03329758,-0.25049265
820.02,0.03214266,-0.24780410
820.47,0.03033911,-0.24493996
820.91,0.02896338,-0.24222356
821.36,0.02814507,-0.23977457
821.81,0.02730223,-0.23783299
822.26,0.02627234,-0.23771087
822.71,0.02545711,-0.23779777
823.15,0.02500331,-0.23822290
823.60,0.02447267,-0.23899203
824.05,0.02410388,-0.24009749
824.50,0.02439214,-0.24151100
824.95,0.02462114,-0.24354799
825.39,0.02429545,-0.24635176
825.84,0.02368469,-0.24944015
826.29,0.02264687,-0.25326114
826.74,0.02136527,-0.25805991
827.18,0.02018133,-0.26368261
827.63,0.01885412,-0.27004068
828.08,0.01732257,-0.27684257
828.53,0.01594274,-0.28844583
828.97,0.01530184,-0.30145209
829.42,0.01566477,-0.31522520
829.87,0.01616819,-0.32949224
830.32,0.01601980,-0.34419075
830.76,0.01590739,-0.35878853
831.21,0.01631924,-0.37311022
831.66,0.01642650,-0.38686463
832.11,0.01553753,-0.40027266
832.55,0.01402258,-0.41301863
833.00,0.01275053,-0.42470330
833.45,0.01199311,-0.43538117
833.90,0.01144233,-0.44491142
834.34,0.01089317,-0.45344357
834.79,0.01040633,-0.45899584
835.24,0.01044532,-0.45947738
835.68,0.01108805,-0.45869986
836.13,0.01137610,-0.45665904
836.58,0.01103389,-0.45320393
837.03,0.01101854,-0.44870910
837.47,0.01155349,-0.44330617
837.92,0.01214136,-0.43681919
838.37,0.01293426,-0.42942856
838.81,0.01407632,-0.42119099
839.26,0.01514639,-0.41250442
839.71,0.01636478,-0.40309757
840.15,0.01806026,-0.39297770
840.60,0.01960962,-0.38235461
841.05,0.02071661,-0.37146271
841.49,0.02173566,-0.35946084
841.94,0.02287599,-0.34703135
842.39,0.02395992,-0.33458447
842.83,0.02480727,-0.32210928
843.28,0.02568797,-0.30975264
843.73,0.02656742,-0.29796630
844.17,0.02707800,-0.28638935
844.62,0.02762026,-0.27506424
845.07,0.02908111,-0.26411236
845.51,0.03148631,-0.25364082
845.96,0.03399796,-0.24391281
846.41,0.03649121,-0.23477867
846.85,0.03981033,-0.22633530
847.30,0.04375723,-0.21873440
847.75,0.04713147,-0.21206616
848.19,0.04998051,-0.20904988
848.64,0.05295691,-0.20900076
849.08,0.05692772,-0.20981427
849.53,0.06310062,-0.21129776
849.98,0.06986728,-0.21348943
850.42,0.07402707,-0.21623563
850.87,0.07573435,-0.21953480
851.32,0.07703896,-0.22327870
851.76,0.07841723,-0.22744653
852.21,0.07879270,-0.23200458
852.65,0.07729623,-0.23709563
853.10,0.07554916,-0.24270066
853.55,0.07581257,-0.24875536
853.99,0.07817614,-0.25502967
854.44,0.08194500,-0.26166365
854.88,0.08614707,-0.26895638
855.33,0.08999360,-0.27733135
855.77,0.09401920,-0.28617841
856.22,0.09804044,-0.29465616
856.67,0.10008130,-0.30313479
